Employee_ID,Gender,Age,Job_Title,Years_At_Company,Education_Level,Performance_Score,Monthly_Salary,Work_Hours_Per_Week,Sick_Days,Employee_Satisfaction_Score,Supporter 4 days a week
112,Male,56,Consultant,8,Master,3,7150,58,1,4.5,True
113,Female,50,Developer,2,Bachelor,5,7500,46,5,4.5,True
114,Female,58,Technician,9,Bachelor,5,5250,48,3,5.0,True
115,Male,59,Developer,0,Bachelor,3,6500,58,7,4.4,True
116,Male,36,Developer,7,Bachelor,4,7000,52,10,4.6,True
117,Male,26,Technician,1,Bachelor,2,4200,36,9,4.5,True
118,Male,57,Technician,8,High School,4,4900,51,4,4.1,True
119,Other,59,Technician,0,Bachelor,5,5250,56,6,4.8,True
120,Female,24,Manager,8,High School,2,7200,54,0,4.7,True
121,Male,28,Developer,5,Bachelor,3,6500,52,7,4.7,True
122,Female,51,Developer,8,High School,2,6000,44,9,4.2,True
123,Male,37,Manager,7,Master,5,9000,40,6,4.9,True
124,Male,43,Analyst,0,Master,2,4800,33,8,4.1,True
125,Female,23,Manager,1,Bachelor,4,8400,40,7,4.7,True
126,Female,59,Specialist,3,Bachelor,4,6300,43,9,5.0,True
127,Female,27,Specialist,3,Bachelor,5,6750,36,12,4.2,True
128,Male,58,Developer,3,Bachelor,2,6000,55,10,4.3,True
129,Male,46,Specialist,5,Bachelor,4,6300,49,14,4.5,True
130,Female,46,Consultant,5,Bachelor,5,8250,30,10,4.3,True
131,Female,54,Developer,6,Master,4,7000,40,13,2.5,False
132,Male,28,Analyst,7,Bachelor,4,5600,52,2,4.5,True
133,Male,22,Specialist,4,Bachelor,2,5400,51,0,4.2,True
134,Male,39,Technician,9,Master,5,5250,31,8,3.2,False
135,Male,47,Specialist,7,Bachelor,3,5850,30,0,4.2,True
136,Male,26,Analyst,2,Bachelor,2,4800,57,3,5.0,True
137,Other,26,Manager,3,Bachelor,2,7200,36,7,4.3,True
138,Female,23,Consultant,7,Bachelor,2,6600,31,1,4.4,True
139,Female,41,Manager,2,Bachelor,3,7800,45,13,4.7,True
140,Male,43,Consultant,2,High School,5,8250,32,3,4.1,True
141,Female,52,Manager,9,Bachelor,1,6600,40,4,4.6,True
142,Female,54,Developer,3,Bachelor,1,5500,48,12,4.9,True
143,Male,39,Analyst,5,High School,2,4800,50,2,4.0,True
144,Female,44,Specialist,7,Bachelor,1,4950,45,14,4.6,True
145,Male,42,Manager,4,Bachelor,1,6600,39,0,4.6,True
146,Male,26,Technician,1,Master,4,4900,51,12,4.7,True
147,Male,35,Developer,0,Bachelor,1,5500,40,8,4.1,True
148,Male,57,Consultant,3,High School,1,6050,37,12,4.1,True
149,Male,52,Technician,3,Bachelor,1,3850,49,13,4.7,True
150,Female,22,Manager,7,High School,2,7200,55,2,4.6,True
151,Female,31,Developer,0,Bachelor,2,6000,31,0,4.6,True
152,Female,51,Specialist,6,Bachelor,4,6300,56,9,4.6,True
153,Male,39,Analyst,0,Bachelor,2,4800,45,0,4.3,True
154,Male,37,Technician,2,High School,1,3850,49,3,4.6,True
155,Male,58,Developer,4,Bachelor,1,5500,34,3,4.6,True
156,Male,31,Developer,0,Bachelor,1,5500,43,9,4.3,True
157,Male,39,Developer,6,Bachelor,5,7500,41,5,3.7,False
158,Male,57,Developer,2,Bachelor,2,6000,31,9,4.6,True
159,Male,36,Manager,5,Bachelor,4,8400,33,10,4.1,True
160,Male,36,Developer,0,Bachelor,5,7500,48,2,4.7,True
161,Female,26,Consultant,9,Bachelor,2,6600,57,2,4.2,True
162,Female,40,Specialist,9,Bachelor,2,5400,48,6,4.7,True
163,Male,53,Manager,0,Bachelor,1,6600,37,12,4.8,True
164,Male,48,Analyst,9,Bachelor,4,5600,39,11,4.3,True
165,Female,50,Developer,8,Bachelor,1,5500,52,10,4.8,True
166,Male,30,Technician,2,Bachelor,3,4550,35,8,4.6,True
167,Female,49,Analyst,4,Master,2,4800,52,6,4.7,True
168,Male,51,Analyst,7,Bachelor,2,4800,44,2,5.0,True
169,Female,37,Manager,5,Bachelor,5,9000,41,14,4.4,True
170,Female,49,Technician,1,Bachelor,4,4900,42,12,4.3,True
171,Male,26,Developer,1,Bachelor,4,7000,33,6,4.2,True
172,Male,45,Developer,2,High School,1,5500,43,6,4.3,True
173,Female,31,Analyst,7,Bachelor,4,5600,56,5,4.5,True
174,Female,46,Manager,3,Master,5,9000,44,0,4.6,True
175,Male,45,Manager,8,Master,5,9000,56,6,4.6,True
176,Female,48,Developer,0,Bachelor,4,7000,41,11,4.7,True
177,Other,49,Specialist,1,Bachelor,1,4950,34,14,4.5,True
178,Female,25,Technician,1,Bachelor,3,4550,35,7,3.6,False
179,Female,44,Consultant,3,Bachelor,1,6050,54,9,4.4,True
180,Female,38,Technician,1,Bachelor,3,4550,46,3,5.0,True
181,Female,52,Developer,2,Bachelor,3,6500,33,0,4.7,True
182,Male,22,Developer,2,Bachelor,2,6000,57,0,4.2,True
183,Male,45,Developer,0,Bachelor,5,7500,52,8,4.2,True
184,Female,25,Technician,0,Bachelor,1,3850,57,0,4.6,True
185,Female,42,Technician,6,Master,5,5250,52,14,4.4,True
186,Male,50,Manager,3,High School,2,7200,52,13,4.7,True
187,Female,46,Technician,4,Bachelor,4,4900,55,13,4.6,True
188,Female,39,Analyst,0,Bachelor,3,5200,55,8,4.5,True
189,Female,44,Manager,1,Bachelor,2,7200,58,4,4.2,True
190,Female,43,Technician,7,Master,1,3850,50,7,4.0,True
191,Other,27,Consultant,1,Bachelor,5,8250,38,11,4.4,True
192,Other,22,Specialist,2,High School,1,4950,43,4,4.8,True
193,Male,44,Manager,8,Bachelor,3,7800,51,9,4.6,True
194,Male,35,Developer,9,Bachelor,5,7500,52,0,2.5,False
195,Male,23,Developer,6,Bachelor,2,6000,30,7,4.6,True
196,Female,35,Manager,9,Bachelor,4,8400,40,2,3.2,False
197,Female,55,Specialist,9,Master,1,4950,60,12,4.2,True
198,Female,28,Manager,5,Master,5,9000,51,0,4.5,True
199,Male,53,Manager,2,Bachelor,4,8400,31,11,4.5,True
200,Other,42,Specialist,6,Master,2,5400,49,12,4.2,True
201,Male,30,Specialist,9,High School,4,6300,47,6,4.6,True
202,Female,39,Consultant,5,Bachelor,4,7700,42,7,3.2,False
203,Male,49,Developer,6,Bachelor,4,7000,45,0,4.8,True
204,Female,22,Technician,6,High School,3,4550,51,14,4.8,True
205,Male,23,Consultant,8,High School,1,6050,41,12,4.1,True
206,Female,22,Specialist,9,Bachelor,5,6750,49,11,4.2,True
207,Female,37,Consultant,2,Bachelor,3,7150,30,12,4.7,True
208,Male,58,Analyst,6,High School,3,5200,40,5,4.7,True
209,Female,22,Analyst,5,Master,2,4800,42,12,3.2,False
210,Other,42,Analyst,2,Bachelor,3,5200,32,1,5.0,True
211,Male,32,Developer,7,High School,5,7500,33,8,4.7,True
212,Female,22,Manager,6,Master,4,8400,33,9,4.8,True
213,Female,41,Manager,3,Bachelor,3,7800,30,14,4.8,True
214,Male,39,Developer,6,Bachelor,3,6500,58,9,4.7,True
215,Male,33,Consultant,3,Bachelor,4,7700,60,14,4.4,True
216,Female,32,Developer,0,Bachelor,2,6000,34,0,4.7,True
217,Female,44,Analyst,1,High School,2,4800,32,5,2.7,False
218,Male,52,Consultant,7,High School,2,6600,52,8,4.4,True
219,Female,56,Developer,9,Bachelor,2,6000,42,14,4.4,True
220,Male,30,Technician,6,Bachelor,5,5250,60,4,4.5,True
221,Male,46,Manager,0,High School,1,6600,33,14,5.0,True
222,Male,42,Developer,3,Bachelor,3,6500,47,10,3.9,True
223,Female,29,Analyst,8,Bachelor,5,6000,50,6,4.7,True
224,Male,55,Developer,4,Master,1,5500,40,1,2.5,False
225,Male,46,Manager,6,High School,4,8400,50,7,4.4,True
226,Male,25,Technician,4,Bachelor,3,4550,41,7,4.8,True
227,Other,56,Specialist,3,High School,4,6300,48,10,4.5,True
228,Male,48,Analyst,8,Bachelor,4,5600,48,6,4.2,True
229,Female,48,Specialist,9,Bachelor,1,4950,44,10,4.3,True
230,Male,40,Specialist,3,Bachelor,1,4950,53,13,4.7,True
231,Male,33,Consultant,5,Master,4,7700,55,8,4.3,True
232,Male,53,Technician,0,High School,2,4200,34,12,4.6,True
233,Male,53,Analyst,5,Bachelor,1,4400,43,3,4.5,True
234,Male,36,Consultant,9,Bachelor,4,7700,55,0,2.7,False
235,Male,49,Specialist,7,Bachelor,2,5400,58,1,3.9,False
236,Male,23,Consultant,4,Bachelor,5,8250,51,0,4.7,True
237,Female,54,Technician,8,Bachelor,3,4550,46,3,3.9,True
238,Female,26,Developer,5,High School,1,5500,46,3,4.6,True
239,Female,56,Technician,0,Bachelor,5,5250,44,14,4.3,True
240,Male,35,Developer,5,Master,4,7000,46,12,4.8,True
241,Male,54,Analyst,2,Bachelor,5,6000,60,3,4.3,True
242,Male,41,Manager,0,High School,2,7200,60,12,4.5,True
243,Male,30,Developer,3,Bachelor,4,7000,43,7,4.7,True
244,Female,57,Developer,0,Master,2,6000,31,13,4.8,True
245,Male,34,Manager,7,Master,4,8400,60,6,4.1,True
246,Male,54,Specialist,2,Master,4,6300,45,11,2.9,False
247,Male,48,Specialist,7,Bachelor,5,6750,53,3,4.4,True
248,Female,51,Consultant,1,Bachelor,3,7150,41,1,4.3,True
249,Male,44,Specialist,3,Bachelor,1,4950,54,12,5.0,True
250,Male,47,Technician,9,Bachelor,3,4550,54,1,4.6,True
251,Other,25,Analyst,1,High School,2,4800,44,11,4.1,True
252,Male,36,Specialist,9,High School,2,5400,49,4,3.4,False
253,Male,39,Technician,5,Bachelor,5,5250,32,8,5.0,True
254,Male,36,Analyst,8,Master,3,5200,37,8,4.8,True
255,Other,25,Manager,1,Bachelor,4,8400,40,8,4.0,True
256,Male,34,Analyst,3,Bachelor,5,6000,57,0,4.4,True
257,Male,49,Specialist,9,High School,4,6300,32,4,4.9,True
258,Male,33,Technician,3,Master,4,4900,34,4,4.3,True
259,Female,29,Manager,1,Bachelor,2,7200,36,1,4.6,True
260,Female,54,Specialist,8,Bachelor,3,5850,44,13,4.7,True
261,Female,36,Analyst,6,Master,5,6000,50,14,4.2,True
262,Male,27,Consultant,0,Bachelor,4,7700,36,9,4.5,True
263,Female,34,Consultant,3,Bachelor,2,6600,52,1,3.7,True
264,Male,48,Developer,9,Bachelor,4,7000,54,8,2.6,False
265,Female,30,Analyst,9,Bachelor,2,4800,49,6,4.4,True
266,Female,46,Developer,3,High School,2,6000,47,1,4.1,True
267,Male,54,Consultant,6,Bachelor,2,6600,38,9,5.0,True
268,Female,56,Analyst,5,Bachelor,4,5600,48,0,4.1,True
269,Female,40,Developer,3,Bachelor,3,6500,57,12,4.4,True
270,Other,51,Consultant,7,Bachelor,4,7700,39,0,3.1,False
271,Other,60,Manager,5,Master,2,7200,60,2,4.9,True
272,Male,60,Manager,2,Bachelor,1,6600,33,11,2.5,False
273,Male,54,Analyst,9,Bachelor,1,4400,54,6,4.8,True
274,Male,22,Consultant,1,High School,1,6050,58,5,4.5,True
275,Male,45,Consultant,4,Master,2,6600,58,8,4.2,True
276,Female,51,Technician,5,Master,1,3850,50,10,4.6,True
277,Female,39,Developer,7,High School,1,5500,30,0,3.1,False
278,Female,56,Manager,0,High School,5,9000,33,6,4.3,True
279,Male,33,Analyst,3,Bachelor,2,4800,49,10,4.5,True
280,Female,43,Developer,8,Bachelor,1,5500,35,10,4.4,True
281,Other,55,Developer,4,Bachelor,2,6000,41,1,4.5,True
282,Female,23,Consultant,9,Bachelor,4,7700,33,13,3.3,False
283,Male,55,Consultant,1,Bachelor,1,6050,34,5,5.0,True
284,Female,24,Specialist,8,High School,1,4950,56,2,2.5,False
285,Male,43,Technician,8,High School,5,5250,42,2,3.9,False
286,Female,34,Consultant,5,Master,2,6600,48,2,3.9,True
287,Female,23,Manager,8,Bachelor,1,6600,30,10,4.5,True
288,Female,33,Specialist,4,Bachelor,1,4950,47,0,4.7,True
289,Male,50,Consultant,6,Bachelor,2,6600,30,2,4.6,True
290,Female,38,Technician,6,Bachelor,1,3850,54,14,4.3,True
291,Female,48,Analyst,0,Master,1,4400,45,11,4.4,True
292,Male,57,Consultant,4,Bachelor,4,7700,58,6,4.4,True
293,Male,22,Manager,9,Master,3,7800,40,1,4.3,True
294,Female,44,Specialist,0,Master,5,6750,60,13,4.8,True
295,Male,41,Consultant,9,Master,4,7700,41,2,4.6,True
296,Male,48,Consultant,8,Bachelor,4,7700,45,9,4.3,True
297,Male,46,Specialist,4,Bachelor,1,4950,39,11,4.8,True
298,Male,26,Analyst,8,Master,2,4800,45,10,4.6,True
299,Male,23,Consultant,7,Master,3,7150,36,8,4.7,True
300,Female,24,Developer,3,Bachelor,3,6500,60,0,3.3,False
301,Female,36,Manager,0,Bachelor,2,7200,46,3,4.3,True
302,Female,27,Specialist,9,Bachelor,1,4950,30,13,4.3,True
303,Female,23,Technician,8,Bachelor,5,5250,37,14,4.7,True
304,Female,47,Specialist,2,Bachelor,3,5850,52,14,3.2,False
305,Male,42,Specialist,7,Master,4,6300,42,4,4.5,True
306,Male,53,Specialist,1,Bachelor,4,6300,37,5,4.5,True
307,Female,50,Analyst,4,Bachelor,5,6000,38,7,4.9,True
308,Male,54,Technician,1,Master,3,4550,60,14,4.3,True
309,Male,44,Technician,8,Bachelor,5,5250,43,11,4.7,True
310,Male,24,Manager,7,Bachelor,1,6600,43,3,4.4,True
311,Female,57,Developer,6,High School,5,7500,52,5,4.4,True
312,Male,44,Analyst,2,Bachelor,5,6000,36,14,4.8,True
313,Female,53,Manager,5,Bachelor,4,8400,41,6,3.3,False
314,Female,46,Consultant,9,Bachelor,4,7700,46,3,4.7,True
315,Male,32,Consultant,8,Bachelor,4,7700,60,4,4.9,True
316,Female,59,Consultant,2,Bachelor,5,8250,37,2,3.0,False
317,Female,26,Manager,5,High School,5,9000,39,10,4.7,True
318,Female,25,Analyst,6,Master,2,4800,32,1,4.4,True
319,Female,25,Technician,9,Bachelor,1,3850,52,8,4.6,True
320,Female,39,Specialist,7,Bachelor,4,6300,43,11,4.5,True
321,Female,36,Consultant,8,Bachelor,3,7150,35,5,4.5,True
322,Other,40,Manager,4,Bachelor,5,9000,49,3,4.7,True
323,Male,51,Analyst,3,Bachelor,2,4800,51,10,2.7,False
324,Female,39,Analyst,3,Bachelor,2,4800,60,1,5.0,True
325,Male,39,Developer,2,Bachelor,2,6000,55,11,4.2,True
326,Female,26,Consultant,3,Master,1,6050,34,4,4.1,True
327,Male,25,Developer,8,Bachelor,2,6000,56,4,3.5,False
328,Female,51,Consultant,9,Bachelor,5,8250,50,10,4.7,True
329,Male,30,Specialist,3,Bachelor,4,6300,30,5,4.7,True
330,Female,46,Specialist,1,Master,3,5850,48,3,4.7,True
331,Male,38,Specialist,1,Bachelor,1,4950,39,6,4.5,True
332,Female,34,Manager,2,Bachelor,5,9000,32,13,4.2,True
333,Male,60,Consultant,2,Master,5,8250,36,13,4.5,True
334,Female,40,Consultant,4,Bachelor,1,6050,38,12,4.3,True
335,Male,29,Analyst,7,High School,2,4800,31,5,4.8,True
336,Female,49,Manager,0,Bachelor,2,7200,38,10,4.5,True
337,Male,27,Manager,1,Bachelor,2,7200,59,2,4.3,True
338,Female,43,Analyst,7,Bachelor,4,5600,59,3,4.4,True
339,Female,50,Consultant,5,High School,2,6600,51,2,4.6,True
340,Male,55,Manager,6,Bachelor,1,6600,51,0,4.3,True
341,Other,38,Specialist,0,Bachelor,5,6750,46,13,4.3,True
342,Male,39,Consultant,4,Bachelor,4,7700,34,9,4.6,True
343,Female,59,Consultant,7,Master,1,6050,30,2,4.6,True
344,Female,28,Specialist,8,Master,4,6300,52,4,4.3,True
345,Male,60,Consultant,0,Bachelor,2,6600,45,3,4.4,True
346,Female,50,Manager,9,Master,2,7200,36,11,3.1,False
347,Female,56,Manager,2,Bachelor,2,7200,51,3,4.1,True
348,Female,23,Consultant,7,Bachelor,2,6600,35,3,4.1,True
349,Female,57,Specialist,2,Bachelor,3,5850,37,8,4.3,True
350,Female,32,Analyst,6,Bachelor,1,4400,35,4,4.4,True
351,Male,27,Technician,0,Bachelor,4,4900,48,2,4.6,True
352,Female,51,Analyst,4,High School,5,6000,44,14,4.9,True
353,Female,52,Developer,4,Bachelor,1,5500,59,10,4.8,True
354,Female,22,Technician,8,Bachelor,1,3850,40,13,4.5,True
355,Male,43,Specialist,9,Bachelor,1,4950,59,7,4.5,True
356,Male,50,Manager,7,Bachelor,1,6600,49,13,4.2,True
357,Male,39,Technician,7,Bachelor,5,5250,60,5,3.0,False
358,Female,48,Specialist,2,Bachelor,4,6300,48,10,4.4,True
359,Male,46,Manager,8,Bachelor,4,8400,42,7,4.6,True
360,Male,37,Technician,6,Bachelor,1,3850,30,7,4.3,True
361,Male,43,Manager,5,Bachelor,2,7200,42,4,4.7,True
362,Female,36,Developer,8,Bachelor,4,7000,48,12,5.0,True
363,Female,50,Analyst,9,High School,3,5200,52,6,3.0,False
364,Female,39,Consultant,3,Bachelor,4,7700,49,13,4.6,True
365,Female,56,Specialist,7,Bachelor,5,6750,37,2,4.7,True
366,Female,22,Consultant,3,Master,1,6050,43,13,4.4,True
367,Female,45,Analyst,9,Bachelor,5,6000,41,0,3.1,False
368,Male,38,Specialist,4,Bachelor,3,5850,41,14,3.0,False
369,Female,42,Specialist,0,High School,5,6750,40,7,4.5,True
370,Female,40,Developer,1,Bachelor,5,7500,44,10,2.7,False
371,Female,47,Specialist,9,Bachelor,2,5400,59,13,4.5,True
372,Male,39,Specialist,3,Bachelor,3,5850,56,4,4.6,True
373,Male,38,Technician,2,Bachelor,2,4200,56,5,4.9,True
374,Male,60,Developer,1,Bachelor,5,7500,40,2,4.8,True
375,Male,57,Specialist,8,Bachelor,4,6300,32,11,5.0,True
376,Female,40,Technician,2,Master,2,4200,53,6,4.3,True
377,Male,47,Developer,2,Bachelor,2,6000,59,5,4.8,True
378,Female,43,Developer,1,Bachelor,4,7000,34,14,4.6,True
379,Female,29,Specialist,5,Bachelor,2,5400,60,13,3.9,False
380,Female,40,Consultant,2,Bachelor,3,7150,31,4,4.3,True
381,Male,38,Specialist,3,Bachelor,2,5400,56,10,4.2,True
382,Female,52,Analyst,2,Bachelor,5,6000,30,11,2.8,False
383,Male,35,Specialist,5,Bachelor,1,4950,38,0,3.9,True
384,Male,49,Technician,7,Bachelor,4,4900,58,14,4.3,True
385,Female,44,Analyst,7,Bachelor,3,5200,54,7,4.3,True
386,Female,41,Manager,2,Bachelor,3,7800,48,6,4.5,True
387,Male,56,Analyst,8,Bachelor,4,5600,48,7,3.1,False
388,Male,43,Developer,6,Bachelor,1,5500,52,5,3.8,False
389,Female,29,Specialist,8,High School,1,4950,45,9,4.8,True
390,Female,29,Manager,0,High School,2,7200,46,13,4.3,True
391,Female,44,Specialist,0,Bachelor,3,5850,51,5,4.2,True
392,Male,35,Specialist,1,Bachelor,3,5850,51,5,4.6,True
393,Female,34,Specialist,8,Master,3,5850,41,4,4.1,True
394,Male,47,Manager,7,Bachelor,1,6600,32,9,5.0,True
395,Male,39,Manager,1,Bachelor,5,9000,48,13,4.9,True
396,Male,49,Manager,2,Master,4,8400,42,4,4.4,True
397,Female,49,Developer,2,Bachelor,2,6000,55,7,4.0,True
398,Female,23,Technician,6,Bachelor,2,4200,54,12,4.9,True
399,Female,34,Technician,9,Bachelor,2,4200,34,12,4.5,True
400,Male,34,Manager,9,Bachelor,1,6600,47,10,4.9,True
401,Female,41,Developer,9,High School,5,7500,43,2,4.0,True
402,Male,28,Consultant,2,Bachelor,3,7150,50,12,4.3,True
403,Female,28,Specialist,7,Bachelor,5,6750,50,7,4.5,True
404,Male,40,Consultant,9,Master,1,6050,34,14,4.5,True
405,Female,35,Consultant,6,Bachelor,5,8250,40,2,4.4,True
406,Male,38,Developer,5,Bachelor,5,7500,50,5,4.7,True
407,Male,44,Analyst,5,Bachelor,3,5200,45,5,4.2,True
408,Male,25,Developer,6,Master,5,7500,60,8,4.5,True
409,Female,23,Technician,2,Bachelor,3,4550,49,14,4.5,True
410,Female,47,Manager,2,High School,4,8400,45,14,4.7,True
411,Female,43,Analyst,5,Bachelor,1,4400,33,10,4.7,True
412,Male,49,Developer,6,Master,3,6500,57,14,4.2,True
